TOT_POP,0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,Black-alone pop,Native American/American Indian-alone pop,Asian-alone pop,Hawaiian/Pacific Islander-alone pop,Two or more races pop,Urban_rural_code,R_birth_2018,R_death_2018,POVALL_2018,MEDHHINC_2018,Employed_2018,Unemployed_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),anycondition_number,Heart disease_number,COPD_number,diabetes_number,CKD_number,Obesity_number
32957,3767,4018,3916,3646,4145,5014,4261,2930,1260,25772,3606,1913,77,7,1582,4,10.8,12.4,6297,43909,13336,583,88.0,217.1,196.7,0.681003447,11977,2523,2956,3964,958,9303
163941,19180,23398,34582,20928,19365,18752,15105,8719,3912,115690,37852,611,6876,148,2764,4,11.5,6.8,30075,48937,71951,2703,98.1,217.1,196.7,3.387577332,55106,8188,9275,14475,3551,41424
96174,11361,12395,11370,13004,13397,14143,10741,6670,3093,78056,13320,795,1535,185,2283,3,10.5,8.9,10633,64863,40890,1503,130.0,217.1,196.7,1.98728117,36584,5840,6606,9737,2298,24876
9974,1276,1164,1286,1094,1083,1459,1311,866,435,2585,7236,37,44,4,68,3,11.9,13.7,2474,33973,3360,265,68.1,217.1,196.7,0.206096683,4764,849,932,1719,385,3535
18439,1694,2507,3437,1671,1781,2355,2541,1615,838,3128,14886,49,112,3,261,6,9.2,13.0,5031,32495,7389,427,65.1,217.1,196.7,0.381012306,8870,1425,1489,3037,697,7048
366519,43078,46922,50959,48362,44447,54475,40881,24151,13244,252338,91273,2968,9815,422,9703,3,11.4,8.8,42667,63755,173532,6220,127.8,217.1,196.7,7.573526183,127744,20256,20400,34952,8511,94849
19066,2364,2380,2332,2075,2260,2571,2475,1643,966,8939,9795,46,58,35,193,6,12.0,14.4,4499,37733,7209,380,75.6,217.1,196.7,0.393968253,8435,1508,1629,2804,645,6570
29763,3232,3582,3376,3273,3708,4275,3834,2907,1576,27986,1154,126,97,19,381,6,9.6,13.6,5844,37887,12036,513,76.0,217.1,196.7,0.615004569,12285,2495,2823,3558,902,8253
96109,13202,12925,11760,11415,11750,12618,11151,7625,3663,89384,2906,1078,705,261,1775,5,14.2,11.8,17341,46233,41157,1441,92.7,217.1,196.7,1.98593805,39015,7011,7986,10471,2569,28075
413757,53407,53561,57388,53044,48602,53867,49214,29685,14989,244947,149329,3885,8548,179,6869,3,12.9,10.9,84539,43598,178608,8798,87.4,217.1,196.7,8.549623548,155134,28026,28849,45540,11166,116990
21067,2298,2776,2494,2141,2506,3019,2889,1893,1051,11612,8686,283,99,9,378,6,9.6,13.4,4560,39556,6716,442,79.3,217.1,196.7,0.435315703,9388,1838,2012,3235,750,6957
225763,29734,29321,33292,30303,26985,28056,25618,14341,8113,81145,133229,760,7203,215,3211,3,13.5,9.7,43567,49640,101360,4219,99.5,217.1,196.7,4.665029621,89485,13991,14595,27581,6253,63314
119089,14531,15278,14369,14299,15005,16956,14526,9376,4749,98591,15539,1311,836,182,2630,4,11.9,11.2,15419,52797,54356,1983,105.8,217.1,196.7,2.460782823,45187,8042,8910,12583,3088,34378
9140,1032,1451,1346,897,960,1046,1131,804,473,2791,6205,24,55,4,61,6,11.6,14.2,2943,26814,3175,222,53.8,217.1,196.7,0.188863413,4435,845,926,1632,378,3174
19938,2107,2261,2602,2524,2371,2923,2568,1671,911,11530,8019,48,67,67,207,4,10.7,11.0,4177,37586,7449,356,75.4,217.1,196.7,0.411986732,8970,1612,1784,2883,669,6711
33338,3580,4654,8134,3336,3278,3521,3350,2279,1206,19163,12562,236,710,30,637,5,10.3,10.3,7315,37259,14544,686,74.7,217.1,196.7,0.6888762,13764,2064,2336,3626,887,10156
22725,2630,2864,2655,2317,2672,3279,3126,2109,1073,17689,4428,107,89,26,386,6,10.9,13.7,4375,40546,9155,383,81.3,217.1,196.7,0.469575609,9782,1796,2013,2880,682,6444
57781,7989,7264,8263,7802,7032,7630,6332,3656,1813,28865,26397,359,507,162,1491,3,13.2,11.4,12384,39104,22798,955,78.4,217.1,196.7,1.193951518,22378,3613,4127,6821,1584,16780
88690,10885,10996,10434,11652,11848,12364,10710,6812,2989,77839,8384,319,790,67,1291,2,11.5,10.9,10432,57284,38296,1387,114.8,217.1,196.7,1.832636336,36408,5711,6712,8914,2181,26054
215707,26169,29617,25406,28165,30653,29307,24799,14597,6994,178681,28171,851,4871,125,3008,2,10.6,7.3,16916,75663,109672,3219,151.7,217.1,196.7,4.45723854,71797,10912,11446,17570,4464,53975
12691,1343,1719,2663,1044,1196,1540,1670,880,636,3205,9111,17,256,4,98,6,10.1,11.6,4076,27859,4487,281,55.9,217.1,196.7,0.262239122,5496,954,1020,1946,456,4155
79828,8787,10018,10267,9598,10130,11004,10425,6567,3032,51346,26208,326,525,22,1401,5,10.4,13.3,14825,41630,33481,1497,83.5,217.1,196.7,1.649517346,36113,6165,6955,10465,2427,24346
40497,4573,4627,4809,4119,4642,5793,6048,4039,1847,28523,10994,173,251,24,532,6,10.1,13.7,7839,42205,17028,744,84.6,217.1,196.7,0.836805431,15892,3349,3725,5377,1295,11245
208911,24770,29202,41424,26670,23895,23262,21875,11646,6167,134982,67003,699,3394,138,2695,4,11.9,8.7,33330,52557,97855,3714,105.4,217.1,196.7,4.31681012,75284,10770,12334,19810,4691,56151
63711,7777,7664,7740,7024,7958,8787,8392,5712,2657,57950,3932,355,386,69,1019,2,11.7,15.6,11231,45434,24064,1068,91.1,217.1,196.7,1.316485439,26556,5069,5870,7386,1828,18142
16378,1801,2192,1959,1751,2011,2358,2180,1418,708,10838,3850,1287,148,18,237,6,9.7,11.3,2846,44424,6278,389,89.1,217.1,196.7,0.338425053,6941,1331,1506,2214,518,4458
10627,1314,1510,1317,1123,1189,1339,1426,887,522,2915,7575,24,25,2,86,6,12.7,13.0,3504,25385,2472,262,50.9,217.1,196.7,0.219589879,4769,911,991,1770,405,3670
23660,2523,2802,2549,2489,2953,3545,3220,2417,1162,22757,207,206,87,48,355,6,10.2,14.3,4338,41156,9371,410,82.5,217.1,196.7,0.488895881,9848,2062,2342,2947,731,6797
5723,364,376,994,968,1112,1100,645,129,35,1910,401,674,2359,135,244,6,5.4,1.9,550,82633,3487,128,110.3,276.9,256.7,0.162973701,1996,268,254,571,119,1546
291538,40841,37189,48243,45464,34724,35998,29237,13785,6057,186316,17799,25865,29418,7827,24313,3,14.5,6.1,27075,82113,143602,8348,109.6,276.9,256.7,8.302118958,81868,11289,12059,19490,5309,60995
18216,3920,3214,2826,2351,1671,2011,1417,590,216,1876,167,15263,174,43,693,6,24.0,7.5,5869,44304,6455,945,59.1,276.9,256.7,0.51873649,5557,1069,1373,1839,472,4319
877,111,76,123,119,103,151,121,48,25,398,9,286,12,3,169,6,6.9,10.3,96,77257,413,28,103.1,276.9,256.7,0.024974303,293,52,55,83,22,227
2059,219,190,275,303,330,356,277,81,28,1707,44,109,110,1,88,6,13.6,0.5,135,75477,1003,85,100.8,276.9,256.7,0.058634082,583,103,108,157,44,456
5000,980,742,790,636,461,629,491,195,76,826,37,3617,45,12,463,6,20.7,8.7,1091,54524,1861,166,72.8,276.9,256.7,0.142384851,1564,286,338,478,125,1194
98971,14394,12072,20530,15401,10435,10663,9536,4434,1506,74934,5410,7830,3455,540,6802,4,15.9,5.1,8104,74268,43426,2675,99.1,276.9,256.7,2.818394224,27556,3615,3958,5756,1653,22533
2474,200,270,207,296,292,408,478,236,87,1971,16,259,26,0,202,6,6.4,4.0,259,58943,988,104,78.7,276.9,256.7,0.070452024,785,153,151,223,65,580
2151,217,214,187,231,258,370,393,211,70,1048,41,811,32,1,218,6,8.4,14.5,370,51188,1012,146,68.3,276.9,256.7,0.061253963,823,170,167,260,69,593
32113,3731,3857,4374,4853,4195,4580,4001,1843,679,22071,466,3809,2257,417,3093,5,10.3,5.3,2299,79173,16470,762,105.7,276.9,256.7,0.914480946,8394,1397,1416,2135,621,6321
58533,7285,7162,6931,7285,6720,8186,8913,4466,1585,48743,484,4659,1042,186,3419,6,12.0,8.9,7103,65439,24453,2044,87.4,276.9,256.7,1.666842501,18050,3351,3555,4846,1384,14770
13918,1695,1709,1787,1928,1642,1958,1851,954,394,9313,147,1951,1171,49,1287,5,11.5,6.8,1244,68309,6604,422,91.2,276.9,256.7,0.396342472,4909,734,778,1148,313,3764
13345,2003,1740,2011,2053,1535,1736,1402,645,220,7367,177,1710,2968,128,995,6,15.4,4.2,1073,74109,5848,362,98.9,276.9,256.7,0.380025168,3603,529,568,945,239,2551
8303,2114,1544,1374,1005,664,800,514,197,91,319,72,7658,41,1,212,6,30.1,12.8,2905,32728,2169,539,43.7,276.9,256.7,0.236444284,2734,522,716,895,229,2117
1587,274,215,226,207,189,223,157,68,28,377,16,976,50,5,163,6,23.8,11.9,288,49403,653,86,65.9,276.9,256.7,0.045192952,530,97,115,164,42,407
107610,15714,15631,13830,15502,13284,14003,12209,5533,1904,89048,1374,7385,1884,426,7493,3,14.0,5.7,10937,74649,44014,3640,99.6,276.9,256.7,3.06440677,31737,4681,5513,6996,2049,24098
10008,2063,1697,1546,1362,1012,1080,800,334,114,1567,83,7554,152,16,636,6,21.0,11.1,2168,55318,3636,477,73.8,276.9,256.7,0.284997518,3229,536,665,903,233,2472
9872,1568,1249,1382,1509,1247,1703,851,257,106,3229,155,5210,599,174,505,6,15.8,7.0,1094,89276,3173,240,119.2,276.9,256.7,0.28112465,3147,475,521,814,200,2454
7671,1637,1298,1263,979,721,879,514,242,138,921,122,6082,63,18,465,6,21.5,10.2,1604,59337,2508,416,79.2,276.9,256.7,0.218446839,2504,432,526,739,186,1961
3221,402,335,364,392,389,463,525,255,96,2426,74,354,105,26,236,6,6.8,13.0,232,66075,1282,122,88.2,276.9,256.7,0.091724321,978,188,190,278,77,704
6422,807,815,664,786,708,1023,1002,480,137,3018,36,2759,62,30,517,6,11.5,5.7,1057,49356,2584,315,65.9,276.9,256.7,0.182879103,2302,457,485,705,185,1634
8647,952,1097,1128,1225,1115,1132,1138,548,312,5613,87,1412,702,36,797,6,10.2,4.5,656,71825,4225,183,95.9,276.9,256.7,0.246240362,2220,431,433,658,189,1800
1148,117,74,139,245,175,147,155,69,27,987,8,59,29,4,61,6,9.5,19.9,49,74635,754,82,99.6,276.9,256.7,0.032691562,352,53,55,77,23,279
6918,1013,865,852,928,851,924,885,454,146,5353,138,869,163,32,363,6,13.3,6.2,918,63527,2658,282,84.8,276.9,256.7,0.19700368,2346,371,402,562,153,1673
2503,270,279,262,248,248,386,473,224,113,1731,12,414,83,2,261,6,8.8,21.9,287,57832,977,74,77.2,276.9,256.7,0.071277857,893,182,185,263,72,605
604,65,52,77,70,76,100,88,50,26,217,12,239,41,8,87,6,6.6,0.0,79,59523,225,20,79.5,276.9,256.7,0.01720009,222,45,43,70,18,162
5327,849,759,653,693,516,666,726,328,137,1231,52,3707,21,7,309,6,12.1,12.5,1259,38912,2156,389,51.9,276.9,256.7,0.151696821,1835,408,449,663,170,1301
71818,10256,11379,9693,8356,7595,9121,8077,4887,2454,16069,410,53827,323,30,1159,6,13.6,9.8,26435,33652,18585,2080,57.0,242.0,224.0,0.831175158,25089,5693,6717,8894,2669,18200
126770,14894,16080,15897,15096,12673,15222,17187,13186,6535,111195,5852,2225,2875,535,4088,4,11.1,10.3,18273,49164,46985,2789,83.2,242.0,224.0,1.467154123,44926,8393,7991,11673,3761,32025
142854,16059,22434,31021,17278,14547,15537,14837,7770,3371,93812,2089,39414,2941,264,4334,4,11.0,6.2,20964,60187,72850,4233,101.9,242.0,224.0,1.653299954,36031,6344,7322,9597,3246,27896
53889,6117,5711,5197,5098,4672,6979,9286,7365,3464,42312,451,9615,509,82,920,5,10.5,14.8,10804,43585,20251,1267,73.8,242.0,224.0,0.623676489,20281,4681,4737,6121,1979,13780
38072,5570,5963,5712,5182,4458,3901,3628,2336,1322,31115,680,5191,263,81,742,5,13.9,7.9,7118,50157,14114,764,84.9,242.0,224.0,0.440620745,12934,2028,2101,3201,921,9447
9483,1468,1365,1312,1389,1109,1057,944,500,339,8550,199,389,90,11,244,6,15.5,5.3,985,65818,4098,182,111.4,242.0,224.0,0.109750119,2918,444,443,751,213,2254
21098,1934,1957,1914,1801,1609,2243,3035,4224,2381,16143,256,3837,205,29,628,6,9.9,14.6,4921,37350,8381,557,63.2,242.0,224.0,0.244174629,9566,2538,2215,3108,970,6075
4410824,568892,600600,627348,606358,560407,536603,452097,301106,157413,3663379,275869,123814,202798,12814,132150,1,12.3,7.3,535183,65234,2137219,92307,110.4,242.0,224.0,51.04802886,1319260,214586,222293,321467,105112,1000695
209550,18723,20657,20519,19963,19701,28294,36643,30738,14312,192331,2709,6331,2599,527,5053,4,8.4,15.5,34411,45129,80508,4934,76.4,242.0,224.0,2.425196391,82338,19531,19296,24750,7559,49710
110445,15926,16360,13469,12414,11509,13441,14025,9185,4116,55688,1114,50383,757,127,2376,5,13.5,9.7,30876,40650,37447,3151,68.8,242.0,224.0,1.278219115,38682,8569,9193,12334,3679,26316
1039073,117940,130837,163180,122078,113713,120674,127882,92566,50203,882105,43252,44984,35302,2438,30992,3,10.9,9.7,164927,53395,464433,21828,90.4,242.0,224.0,12.02555996,332209,63461,57452,88469,28191,236011
447138,53671,57245,54379,59854,53959,49510,55580,45236,17704,370360,23222,29746,8570,1906,13334,2,10.3,7.3,54399,58848,169264,8952,99.6,242.0,224.0,5.17488649,177148,27761,28726,46827,12358,130231
46511,6618,7221,5756,4973,5128,5527,5477,3908,1903,44513,435,655,355,68,485,5,13.7,6.9,11287,40545,17522,1803,68.6,242.0,224.0,0.538288281,15662,2930,2500,5440,1487,12267
231993,19657,22683,21369,20567,21288,31169,45370,34149,15741,216777,2030,4925,2742,345,5174,4,8.0,13.1,30060,48758,100899,4719,82.5,242.0,224.0,2.684937182,87153,19213,18574,23017,7876,53240
212128,29937,29723,33390,26345,21341,21432,19853,18771,11336,193457,5712,4824,3367,532,4236,4,14.1,7.7,39648,44116,80997,16639,74.7,242.0,224.0,2.455032499,74673,13649,12591,20561,6229,58536
17769,2342,2095,2088,1932,2142,2418,2388,1482,882,12810,4420,64,148,7,320,6,13.2,12.7,3120,43887,8762,308,93.2,207.6,188.2,0.518833044,7186,1411,1481,2120,536,5245
20046,2521,2493,2319,2103,2463,2765,2563,1913,906,14553,4994,143,51,20,285,6,11.8,12.7,3876,41127,7263,420,87.3,207.6,188.2,0.585318657,8485,1665,1755,2529,631,5861
41619,3854,4207,3757,3911,4046,5625,6800,6078,3341,40200,166,329,218,27,679,5,8.3,16.8,6216,39686,15785,678,84.3,207.6,188.2,1.215223843,16754,4036,3889,4966,1381,11126
272608,38930,39036,35344,41535,35859,31625,25348,16396,8535,241735,5528,5137,11131,1954,7123,3,13.7,6.6,23290,68978,130532,3872,146.5,207.6,188.2,7.95981983,84302,14170,13975,20795,5240,65740
37480,4704,4622,4363,4213,4378,5052,4684,3562,1902,35930,160,326,258,43,763,5,12.8,12.1,5472,44482,15295,561,94.5,207.6,188.2,1.094370111,13982,2904,3048,3742,1021,9359
10897,1418,1416,1220,1298,1312,1429,1357,911,536,7488,3015,166,50,5,173,6,11.2,12.0,2329,37729,4166,196,80.1,207.6,188.2,0.318179058,4393,847,865,1355,332,3066
5277,521,592,624,564,629,813,773,483,278,3994,1127,37,15,1,103,5,9.3,8.4,800,44969,2310,94,95.5,207.6,188.2,0.154081939,2203,457,476,679,170,1627
28223,3267,3432,3021,2940,3110,3726,4373,3013,1341,26272,228,372,436,302,613,6,11.6,10.8,4499,45023,12233,406,95.6,207.6,188.2,0.824077045,10052,2297,2295,3077,818,7755
10438,1262,1297,1245,1127,1166,1416,1459,879,587,4519,5669,49,78,4,119,6,11.5,14.7,3039,31787,3110,230,67.5,207.6,188.2,0.30477682,4402,934,941,1546,385,3390
22061,2292,3440,4537,2149,2241,2456,2365,1648,933,16013,5399,144,141,12,352,5,10.1,10.9,3838,45408,9214,366,96.4,207.6,188.2,0.644154189,7859,1352,1377,2101,546,5864
14847,1772,1761,1750,1604,1710,2084,1864,1488,814,14411,114,76,29,3,214,6,12.3,13.2,3035,37687,5579,256,80.0,207.6,188.2,0.433514222,5718,1316,1435,1692,458,3985
24965,2423,2757,2332,2541,2680,3613,3716,3167,1736,24136,108,186,125,10,400,6,8.8,15.4,3573,44902,8758,416,95.3,207.6,188.2,0.728947434,10058,2303,2302,2946,790,6453
8018,851,1083,843,883,984,1145,1076,758,395,6915,929,41,13,3,117,4,10.4,10.5,1232,47600,3173,129,101.1,207.6,188.2,0.234115783,3338,677,695,936,240,2399
23537,2708,3630,4060,2469,2360,2795,2633,1740,1142,14387,8453,140,251,10,296,5,10.8,12.0,4799,40909,8562,429,86.9,207.6,188.2,0.687251582,9554,1689,1746,2713,675,7541
20891,2567,2554,2356,2403,2433,2983,2704,1825,1066,17708,2391,183,97,7,505,6,10.4,10.2,3693,44565,7840,358,94.6,207.6,188.2,0.609991622,8095,1610,1688,2314,593,6067
108558,15150,15441,16834,15145,12977,12273,10583,6519,3636,87000,17630,587,1355,61,1925,4,13.4,9.3,18768,45615,52462,1658,96.9,207.6,188.2,3.169760686,40631,6085,6644,9386,2384,30876
